"decimalLongitude","decimalLatitude"
-122.22,46.09
-121.956,46.16
-122.033,46.205
-121.852,46.221
-121.782,46.222
-121.834,46.222
-121.979,46.234
-121.845,46.236
-121.864,46.237
-121.857,46.239
-122.145,46.243
-122.121,46.252
-122.07,46.26
-122.065,46.261
-123.54,46.27
-122.13,46.27
-122.134,46.273
-122.095,46.274
-122.134,46.277
-122.096,46.279
-122.089,46.279
-122.087,46.288
-121.992,46.29
-122.121,46.29
-122.002,46.292
-122.061,46.293
-122.14,46.3
-122.07,46.299
-122.047,46.315
-123.439,46.324
-123.455,46.32
-122.123,46.329
-123.51,46.34
-123.457,46.343
-123.55,46.35
-121.99,46.374
-123.916,46.418
-123.948,46.427
-123.96,46.43
-123.931,46.446
-123.66,46.45
-123.79,46.5
-123.795,46.5
-123.67,46.54
-123.74,46.55
-123.72,46.56
-122.514,46.578
-123.7,46.58
-122.37,46.58
-122.365,46.581
-122.275,46.583
-123.76,46.591
-122.279,46.59
-123.89,46.6
-122.304,46.601
-123.894,46.602
-122.311,46.603
-122.373,46.604
-122.233,46.605
-122.29,46.61
-122.383,46.613
-122.369,46.615
-122.26,46.62
-122.256,46.631
-123.62,46.64
-123.805,46.663
-123.67,46.69
-122.321,46.696
-122.32,46.7
-122.26,46.74
-121.728,46.783
-121.757,46.785
-121.916,46.833
-121.907,46.834
-121.537,46.839
-121.841,46.914
-121.843,46.915
-121.871,46.919
-121.796,46.951
-121.826,46.971
-121.961,46.975
-121.95,46.98
-121.945,46.981
-123.2,47.312
-123.22,47.42
-123.561,47.446
-123.56,47.45
-123.861,47.46
-123.83,47.48
-123.28,47.49
-123.33,47.51
-123.89,47.52
-123.771,47.523
-123.7,47.53
-123.698,47.534
-123.619,47.559
-123.38,47.56
-123.36,47.56
-123.375,47.563
-123.7,47.57
-123.83,47.79
-123.852,47.837
-123.85,47.84
-124.26,47.87
-124.385,47.95
-124.04,47.99
-123.789,48.058
-123.79,48.06
-124.17,48.077
